Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G002017865	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G002992955	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G001586235	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G002310475	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G003570885	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000771305	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000373085	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G004362855	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G001042615	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000241465	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000091545	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G000488255	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G002028325	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G003008535	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G001591205	-9.934784900500015	-3.2806615729149935	2.523603194231734	3.9653197647814764	(-14.2798, -4.93503)	(-10.9972, 4.46879)
G002327145	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G003572535	-8.72179890099999	2.8051991239089977	2.532040675552104	2.6929186535258527	(-13.13, -3.87269)	(-2.95822, 7.35073)
G000374425	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
G004363315	-10.84115112302	-1.4861440973800002	5.090529278670719	4.475287361339079	(-18.9611, -0.264613)	(-9.88331, 7.02327)
