Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G016028655	-7.090603962150006	-2.372529560010001	2.8302188769997936	4.7753892878714375	(-11.7447, -1.5047)	(-11.2873, 6.61279)
G001707755	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014138885	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000430245	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003952165	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019355995	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003063455	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002206635	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008802155	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006363895	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G011299095	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002834225	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016862135	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001501155	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000954135	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001717565	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G016028755	-9.472318041199967	-3.5906432409499973	2.350584782528056	3.7894269836551757	(-13.1897, -4.39484)	(-10.6908, 4.14799)
G014145335	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003952825	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019400025	-4.137332459999997	-0.2002597151150001	0.05647213735151522	0.08543045346988917	(-4.25481, -4.03905)	(-0.355976, -0.0306364)
G003063475	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002208825	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006364615	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008802205	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G011305415	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002847555	-10.768400351999995	-3.679700687945	2.1530176188270165	3.4311703373091142	(-14.738, -8.41691)	(-10.4141, 2.31776)
G016862315	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001509495	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000960005	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001722415	-7.071611889600004	-5.1395692575249985	1.4700755183299479	3.5712176818523504	(-9.43155, -4.26202)	(-12.4529, 1.28379)
G016103195	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014195675	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003958705	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019633635	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003065365	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002215055	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006370295	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008802215	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016882605	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002885975	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G011578285	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G900107475	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G900450525	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001747495	-3.3767878549999963	-0.05125425999349997	0.027193918447862085	0.04214168577603372	(-3.43111, -3.32686)	(-0.127827, 0.0310859)
G016106035	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014196115	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003959475	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019704495	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003100395	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002217285	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008802275	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006385165	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002893965	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016889225	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G012273055	-11.27668515754998	2.4913187850149954	3.2898815519530484	2.7569848010308684	(-16.978, -4.08533)	(-2.45967, 8.76599)
G900107605	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G900451145	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001748265	-11.280908869500026	2.767501681450007	3.1561905018248875	2.945776743691488	(-17.1366, -4.99156)	(-2.87729, 8.63275)
G016107575	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014196595	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003965815	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019704535	-6.7802230734499975	-2.4340682285999984	3.1361684698114507	4.7616638969789475	(-11.6568, -0.514313)	(-11.2792, 6.16438)
G003182075	-6.094720513610006	-2.175353555919997	3.3817206049690482	4.804806988511986	(-12.5425, 0.0425201)	(-11.0723, 6.4489)
G002217365	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008868275	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006385785	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002900365	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016889465	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G012530715	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G900453115	-9.472318041199967	-3.5906432409499973	2.350584782528056	3.7894269836551757	(-13.1897, -4.39484)	(-10.6908, 4.14799)
G900111115	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001758785	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016110345	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014204325	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003990875	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019840805	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G003194085	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002222045	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G009208555	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006438845	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002901875	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
