	15336.CRC.5.Plasma	15336.CRC.1.Plasma	15336.HCC.5.Plasma	15336.HCC.6.Plasma	15336.CRC.3.Plasma	15336.CRC.2.Plasma	15336.HCC.2.Plasma	15336.HCC.12.Plasma	15336.HCC.4.Plasma	15336.HCC.7.Plasma	15336.HCC.8.Plasma	15336.CRC.6.Plasma	15336.HCC.3.Plasma	15336.HCC.11.Plasma	15336.CRC.8.Plasma	15336.CRC.7.Plasma	15336.CRC.11.Plasma	15336.CRC.10.Plasma	15336.HCC.15.Plasma	15336.HCC.9.Plasma	15336.HCC.10.Plasma	15336.HCC.13.Plasma	15336.CRC.4.Plasma	15336.CRC.9.Plasma	15336.HCC.1.Plasma
d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium branchiophilum	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Leptothrix;s__Leptothrix ochracea	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas lactis	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Melaminivora;s__Melaminivora alkalimesophila	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media	3.0	16.0	1.0	59.0	8.0	12.0	0.0	0.0	18.0	3.0	11.0	10.0	0.0	9.0	0.0	3.0	0.0	2.0	0.0	6.0	5.0	6.0	0.0	3.0	6.0
d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium otitidis	0.0	0.0	0.0	20.0	0.0	4.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	4.0	2.0	0.0	0.0	4.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas oleovorans	0.0	3.0	14.0	29.0	6.0	12.0	2.0	1.0	3.0	13.0	0.0	0.0	26.0	5.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	3.0	1.0	24.0	17.0
d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thauera phenylacetica	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Bradyrhizobiaceae;g__Afipia;s__Afipia broomeae	0.0	6.0	2.0	9.0	0.0	2.0	0.0	2.0	1.0	12.0	18.0	3.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	4.0	1.0	24.0	0.0	4.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Alloiococcus;s__Alloiococcus otitis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
